Days,Survival,Mutant,Virus,TechRep,BiolRep
3,1,0,0,A,1
10,1,0,0,A,1
19,1,0,0,A,1
25,1,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
3,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
3,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
14,0,1,0,D,1
7,1,1,1,E,1
7,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
9,1,1,1,E,1
9,1,1,1,E,1
9,1,1,1,E,1
14,1,1,1,E,1
7,1,1,1,F,1
7,1,1,1,F,1
8,1,1,1,F,1
9,1,1,1,F,1
9,1,1,1,F,1
9,1,1,1,F,1
10,1,1,1,F,1
10,1,1,1,F,1
12,1,1,1,F,1
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
7,1,0,1,H,2
7,1,0,1,H,2
7,1,0,1,H,2
7,1,0,1,H,2
7,1,0,1,H,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
6,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
8,1,1,1,K,2
8,1,1,1,K,2
8,1,1,1,K,2
8,1,1,1,K,2
9,1,1,1,K,2
9,1,1,1,K,2
10,1,1,1,K,2
10,1,1,1,K,2
3,1,1,1,L,2
3,1,1,1,L,2
3,1,1,1,L,2
3,1,1,1,L,2
6,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
8,1,1,1,L,2
8,1,1,1,L,2
8,1,1,1,L,2
8,1,1,1,L,2
9,1,1,1,L,2
10,1,1,1,L,2
10,1,1,1,L,2
2,1,0,0,M,3
8,1,0,0,M,3
14,1,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
3,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
5,1,0,1,N,3
5,1,0,1,N,3
5,1,0,1,N,3
5,1,0,1,N,3
5,1,0,1,N,3
4,1,0,1,O,3
4,1,0,1,O,3
4,1,0,1,O,3
4,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
10,0,1,0,P,3
6,1,1,1,Q,3
7,1,1,1,Q,3
7,1,1,1,Q,3
7,1,1,1,Q,3
7,1,1,1,Q,3
8,1,1,1,Q,3
8,1,1,1,Q,3
8,1,1,1,Q,3
8,1,1,1,Q,3
9,1,1,1,Q,3
9,1,1,1,Q,3
9,1,1,1,Q,3
10,1,1,1,Q,3
2,1,1,1,R,3
7,1,1,1,R,3
7,1,1,1,R,3
7,1,1,1,R,3
7,1,1,1,R,3
7,1,1,1,R,3
7,1,1,1,R,3
8,1,1,1,R,3
8,1,1,1,R,3
9,1,1,1,R,3
10,1,1,1,R,3
10,1,1,1,R,3
