"file","tau","RMST_diff","RMST_diff_lower_CI","RMST_diff_upper_CI","p_value"
"miR-10.csv",14,-0.847141000649773,-1.45202836309001,-0.242253638209533,0.00605261282951811
"miR-1007.csv",8,-0.260625,-0.590857408614373,0.0696074086143728,0.121902624927131
"miR-1014.csv",14,-1.36321909424725,-1.84298522852459,-0.883452959969903,2.56074585430917e-08
"miR-11.csv",14,-1.92368421052632,-2.38790847418929,-1.45945994686334,4.59196319592635e-16
"miR-124.csv",14,-2.0895378690629,-2.6057518442297,-1.5733238938961,2.12936908756172e-15
"miR-133.csv",5,-0.570375620127569,-0.801706130772152,-0.339045109482986,1.34796958710591e-06
"miR-137.csv",9,-1.62287244214955,-2.02334084315859,-1.22240404114051,1.97941904485094e-15
"miR-219.csv",8,-1.15853658536585,-1.4485612363005,-0.868511934431204,4.90593971548068e-15
"miR-263b.csv",8,-0.426339285714286,-0.797528757477966,-0.0551498139506053,0.0243749356102222
"miR-274.csv",8,-1.87323943661972,-2.23979734733134,-1.5066815259081,1.29508976739829e-23
"miR-276b.csv",9,0.635919540229885,0.393550702530872,0.878288377928898,2.71120450168901e-07
"miR-278.csv",9,0.273168103448276,-0.138530812448859,0.68486701934541,0.193441965844474
"miR-282.csv",8,-0.82882750514252,-1.23122231978468,-0.426432690500358,5.41366653203996e-05
"miR-283.csv",8,0.37885551948052,-0.00562911907141794,0.763340158032457,0.0534498238291932
"miR-285.csv",9,-1.17809523809524,-1.57794013038807,-0.778250345802405,7.70445974914332e-09
"miR-2b-1.csv",8,0.0411931818181817,-0.304453825377988,0.386840189014351,0.815308978553163
"miR-304.csv",15,1.38021189336979,0.707155306947853,2.05326847979172,5.83899844447431e-05
"miR-31a.csv",5,-0.0619699042407662,-0.278942137191594,0.155002328710061,0.575623018137071
"miR-31b.csv",19,3.16137326073805,2.35478138807147,3.96796513340463,1.56716401121398e-14
"miR-375.csv",8,0.232501434308664,-0.171862144892546,0.636865013509874,0.259766861011423
"miR-87.csv",8,0.00221483942414213,-0.354722957934024,0.359152636782308,0.990296528098271
"miR-92a.csv",8,-0.260027985074627,-0.68743504013017,0.167379069980915,0.233099568236602
"miR-932.csv",9,0.668290043290043,0.269195519753188,1.0673845668269,0.00103077094977018
"miR-957.csv",8,0.328510802469136,-0.0169858207732723,0.674007425711544,0.0623771515402201
"miR-958.csv",9,0.0957386363636363,-0.345666662724042,0.537143935451315,0.670759010952892
"miR-965.csv",8,-0.01801948051948,-0.400970926825188,0.364931965786228,0.926519616421633
"miR-966.csv",8,-0.21366478572518,-0.624594796371631,0.197265224921271,0.308159524704007
"miR-967.csv",8,0.463450292397661,0.122367958816782,0.804532625978539,0.00774179799751154
"miR-971.csv",5,0.112448700410397,-0.104954552334034,0.329851953154828,0.310695790285781
"miR-986.csv",8,-1.64634146341463,-2.02209287128594,-1.27059005554333,8.88723270469283e-18
"miR-988.csv",8,-0.191969696969696,-0.498896314935675,0.114956920996282,0.220245688078934
"miR-989.csv",9,-1.06203703703704,-1.52022581653356,-0.603848257540512,5.54576905176631e-06
"miR-990.csv",9,0.0609756097560981,-0.398401953838118,0.520353173350314,0.794743158014301
"miR-999.csv",6,-0.0117647058823529,-0.306462581348433,0.282933169583727,0.937633802410882
"miR-9c.csv",8,0.231244211176289,-0.15249857245648,0.614986994809058,0.237571566719021
